【Excel文件】COVID-19全球数据集（节选）.xlsx
工作表数量：1
============================================================

📊 工作表 1: Data
行数: 15088, 列数: 15
----------------------------------------
                        国家/地区             大洲     纬度      经度  年平均温度  每千人医院床位数  每千人医生数    人均GDP          人口  年龄中位数  65岁及以上人口占比         日期      每日检测数         病例数       死亡数
0                     Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-02-25        8.0         NaN       NaN
1                     Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-02-26        5.0         NaN       NaN
2                     Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-02-27        4.0         NaN       NaN
3                     Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-02-28        1.0         NaN       NaN
4                     Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-02-29        8.0         NaN       NaN
5                     Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-01        3.0         NaN       NaN
6                     Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-02        2.0         NaN       NaN
7                     Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-03        5.0         NaN       NaN
8                     Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-04        6.0         NaN       NaN
9                     Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-05        8.0         NaN       NaN
10                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-06        3.0         NaN       NaN
11                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-07        5.0         NaN       NaN
12                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-08        1.0         NaN       NaN
13                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-09       18.0         2.0       NaN
14                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-10       37.0        10.0       NaN
15                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-11       43.0        12.0       1.0
16                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-12      141.0        23.0       1.0
17                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-13      159.0        33.0       1.0
18                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-14       48.0        38.0       1.0
19                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-15       27.0        42.0       1.0
20                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-16       31.0        51.0       1.0
21                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-17       42.0        55.0       1.0
22                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-18       60.0        59.0       2.0
23                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-19       32.0        64.0       2.0
24                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-20       35.0        70.0       2.0
25                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-21       46.0        76.0       2.0
26                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-22       33.0        89.0       2.0
27                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-23        NaN       104.0       4.0
28                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-24        NaN       123.0       5.0
29                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-25      111.0       146.0       5.0
30                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-26      103.0       174.0       6.0
31                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-27      102.0       186.0       8.0
32                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-28       79.0       197.0      10.0
33                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-29      111.0       212.0      10.0
34                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-30       90.0       223.0      11.0
35                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-03-31      145.0       243.0      15.0
36                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-01      152.0       259.0      15.0
37                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-02       96.0       277.0      16.0
38                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-03      112.0       304.0      17.0
39                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-04      216.0       333.0      20.0
40                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-05      149.0       361.0      20.0
41                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-06      175.0       377.0      21.0
42                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-07      182.0       383.0      22.0
43                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-08      236.0       400.0      22.0
44                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-09      234.0       409.0      23.0
45                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-10      162.0       416.0      23.0
46                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-11      259.0       433.0      23.0
47                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-12      233.0       446.0      23.0
48                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-13      193.0       467.0      23.0
49                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-04-14      236.0       475.0      24.0
